company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
DELPHI WORLD MONEY LIMITED,    75.00,0,     0.00
DIC India Limited,    71.75,0,     0.00
DLF Limited,    74.08,0,     0.00
DPSC Limited,    59.47,389515856,    67.26
DQ Entertainment (International) Limited,    75.00,59461972,   100.00
DS Kulkarni Developers Limited,    95.00,0,     0.00
Dabur India Limited,    66.25,0,     0.00
Dalmia Bharat Limited,    55.84,0,     0.00
Dalmia Bharat Sugar and Industries Limited,    74.91,0,     0.00
Damodar Industries Limited,    70.45,4940000,    30.09
Datamatics Global Services Limited,    66.44,0,     0.00
Dcm Financial Services Limited,    39.50,0,     0.00
De Nora India Limited,    53.68,0,     0.00
Debock Industries Limited,     9.41,0,     0.00
Deccan Cements Limited,    56.25,0,     0.00
Deepak Fertilizers And Petrochemicals Corporation Limited,    45.63,0,     0.00
Deepak Nitrite Limited,    49.13,0,     0.00
Delta Corp Limited,    33.26,0,     0.00
Delta Manufacturing Limited,    72.12,0,     0.00
Den Networks Limited,    75.00,0,     0.00
Dev Information Technology Limited,    70.20,0,     0.00
Devyani International Limited,    62.74,0,     0.00
Dhampur Sugar Mills Limited,    49.12,0,     0.00
Dhani Services Limited,    35.62,0,     0.00
Dhanlaxmi Bank Limited,     0.00,0,
Dhanuka Agritech Limited,    70.18,0,     0.00
Dharani Sugars & Chemicals Limited,    61.55,11032168,    53.98
Dhunseri Investments Limited,    74.95,0,     0.00
Dhunseri Tea & Industries Limited,    68.90,0,     0.00
Dhunseri Ventures Limited,    75.00,0,     0.00
DiGiSPICE Technologies Limited,    72.97,0,     0.00
Diligent Media Corporation Limited,    62.17,8830306,    12.07
Dilip Buildcon Limited,    70.15,25626627,    24.98
Dish TV India Limited,     4.04,8689621,    11.68
Divi's Laboratories Limited,    51.92,0,     0.00
Dixon Technologies (India) Limited,    33.44,0,     0.00
Donear Industries Limited,    74.56,0,     0.00
Dr. Reddy's Laboratories Limited,    26.83,0,     0.00
Dredging Corporation of India Limited,    73.47,,
Ducon Infratechnologies Limited,    51.97,20000000,    14.81
Dwarikesh Sugar Industries Limited,    42.09,0,     0.00
Dynacons Systems & Solutions Limited,    61.01,0,     0.00
Dynamatic Technologies Limited,    41.87,0,     0.00
EID Parry India Limited,    42.23,11000,     0.01
EIH Associated Hotels Limited,    75.00,0,     0.00
EIH Limited,    32.85,0,     0.00
EPL Limited,    51.50,0,     0.00
Eastern Silk Industries Limited,    51.28,40488351,   100.00
Eastern Sug & Inds Limited,     5.46,115000,     7.22
Easun Reyrolle Limited,    36.03,0,     0.00
Edelweiss Financial Services Limited,    37.52,0,     0.00
Educomp Solutions Limited,    44.78,51771578,    94.41
Eicher Motors Limited,    49.15,0,     0.00
Eimco Elecon (India) Limited,    74.06,0,     0.00
Elecon Engineering Company Limited,    59.27,0,     0.00
Electrosteel Castings Limited,    46.21,32675270,    11.44
Electrotherm (India) Limited,    31.04,300000,     7.58
Elgi Equipments Limited,    31.35,664160,     0.67
Elgi Rubber Company Limited,    65.03,0,     0.00
Emami Limited,    54.84,31330449,    13.09
Emami Paper Mills Limited,    74.97,0,     0.00
Emkay Global Financial Services Limited,    74.34,4851484,    26.43
Emmbi Industries Limited,    59.23,0,     0.00
Energy Development Company Limited,    58.14,0,     0.00
Engineers India Limited,    51.32,0,     0.00
Entertainment Network (India) Limited,    71.15,0,     0.00
Eon Electric Limited,    61.75,4098030,    39.26
Epigral Limited,    71.49,0,     0.00
Eris Lifesciences Limited,    54.90,13823970,    18.51
Eros International Media Limited,    16.25,0,     0.00
Esab India Limited,    73.72,0,     0.00
Escorts Kubota Limited,    69.51,0,     0.00
Essar Shipping Limited,    73.75,0,     0.00
Ester Industries Limited,    62.46,0,     0.00
Euro Ceramics Limited,    10.09,3403895,    99.99
Euro Multivision Limited,    47.01,0,     0.00
Eurotex Industries and Exports Limited,    70.99,0,     0.00
Eveready Industries India Limited,    43.20,4573,     0.01
Everest Industries Limited,    50.25,0,     0.00
Everest Kanto Cylinder Limited,    67.39,0,     0.00
Excel Industries Limited,    52.95,2182,     0.03
Excel Realty N Infra Limited,    19.12,0,     0.00
Exide Industries Limited,    45.99,0,     0.00
Expleo Solutions Limited,    71.05,0,     0.00
FCS Software Solutions Limited,    19.65,0,     0.00
FDC Limited,    69.66,0,     0.00
Fedders Electric and Engineering Limited,   100.00,,
Federal-Mogul Goetze (India) Limited.,    74.98,0,     0.00
Fertilizers and Chemicals Travancore Limited,    90.00,0,     0.00
Fiem Industries Limited,    66.56,0,     0.00
Filatex India Limited,    64.76,0,     0.00
Finolex Cables Limited,    36.02,0,     0.00
Finolex Industries Limited,    52.81,0,     0.00
Firstsource Solutions Limited,    55.00,0,     0.00
Five-Star Business Finance Limited,    26.51,200,     0.00
