symbol,market_cap
BHARTIARTL,793250.81
BHARTIHEXA,57287.5
BHEL,103556.56
BHINVIT,4706.67
BIGBLOC,1671.3
BIKAJI,18128.92
BIL,549.42
BINANIIND,50.25
BIOCON,39991.99
BIOFILCHEM,98.15
BIRDYS,39.32
BIRET,11724.01
BIRLACABLE,729.27
BIRLACORPN,11843.42
BIRLAMONEY,935.23
BLAL,1233.09
BLBLIMITED,99.92
BLISSGVS,1067.85
BLKASHYAP,2102.45
BLS,15152.07
BLSE,2524.08
BLUECHIP,20.41
BLUEDART,18839.98
BLUEJET,6938.62
BLUEPEBBLE,116.46
BLUESTARCO,34954.51
BMETRICS,80.04
BODALCHEM,972.35
BOMDYEING,3545.17
BOROLTD,3947.35
BORORENEW,6435.51
BOROSCI,1402.1
BOSCHLTD,96957.39
BPCL,133680.2
BPL,514.25
BRIGADE,30462.34
BRIGHT,21.5
BRITANNIA,128866.95
BRNL,417.9
BROOKS,230.97
BSE,36605.77
BSE500IETF,245.61
BSHSL,2070.41
BSL,193.49
BSLGOLDETF,796.39
BSLNIFTY,2449.34
BSLSENETFG,497.26
BSOFT,18994.3
BTML,179.69
BURNPUR,57.1
BUTTERFLY,1307
BVCL,130.74
BYKE,353.94
CADSYS,180.59
CALSOFT,26.97
CAMLINFINE,1780.16
CAMPUS,8545.49
CAMS,17566.75
CANARYS,279.52
CANBK,109972.58
CANFINHOME,11537.14
CANTABIL,1990.59
CAPACITE,2723.4
CAPITALSFB,1575.14
CAPLIPOINT,10652.35
CAPTRUST,188.21
CARBORUNIV,34722.01
CAREERP,709.52
CARERATING,3190.11
CARTRADE,3904.19
CARYSIL,2236.21
CASTROLIND,20277.01
CBAZAAR,36.26
CCHHL,281.81
CCL,8058.41
CDSL,21453.85
CEATLTD,10080.16
CELEBRITY,102.36
CELLECOR,587.31
CELLO,19122.02
CELLPOINT,65.87
CENTENKA,1356.59
CENTEXT,167.6
CENTRALBK,56426.11
CENTRUM,1689.92
CENTUM,2147.83
CENTURYPLY,16018.67
CENTURYTEX,25641.42
CERA,10573.78
CEREBRAINT,76.82
CESC,19857.05
