ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
ALICON,Alicon Castalloy Limited,7(2),VIMAL GUPTA,Key Managerial Personnel,Equity Shares,115000,0.71,Equity Shares,50000,250000,Buy,Equity Shares,165000,1.02,31-May-2024,31-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 19:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165004_1152923_04062024071933_WEB.xml
LTIM,LTIMindtree Limited,7(2),RAMASWAMY GOVINDAN,Employees/Designated Employees,Equity Shares,3010,0,Equity Shares,2258,10572182,Sell,Equity Shares,752,0,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 19:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165002_1152916_04062024071556_WEB.xml
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,7(2),Krishak Bharati Cooperative Limited (KRIBHCO),Promoters,Equity Shares,10137726,1.7,Equity Shares,25000,254000,Sell,Equity Shares,10112726,1.69,31-May-2024,31-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165001_1152888_04062024065754_WEB.xml
SNOWMAN,Snowman Logistics Limited,7(2),GATEWAY DISTRIPARKS LIMITED,Promoters,Equity Shares,75588245,45.24,Equity Shares,525000,32997300,Buy,Equity Shares,76113245,45.55,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165000_1152886_04062024065744_WEB.xml
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,7(2),Krishak Bharati Cooperative Limited (KRIBHCO),Promoters,Equity Shares,10137726,1.7,Equity Shares,25000,254000,Sell,Equity Shares,10112726,1.69,31-May-2024,31-May-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:54,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164998_1152883_04062024065406_WEB.xml
VIPIND,VIP Industries Limited,7(2),Praful Gupta,-,Equity Shares,11807,0,Equity Shares,9522,4339897,Sell,Equity Shares,2285,0,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164996_1152869_04062024063106_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),ROHAN RAMANI,Promoter Group,Equity Shares,6550,0.01,Equity Shares,750,226875,Buy,Equity Shares,7300,0.01,31-May-2024,31-May-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164994_1152850_04062024062209_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),MAHIKA MILIND PANANDIKAR,Promoter Group,Equity Shares,6800,0.01,Equity Shares,1000,302500,Buy,Equity Shares,7800,0.01,31-May-2024,31-May-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164994_1152850_04062024062209_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),MEGH MILIND PANANDIKAR,Promoter Group,Equity Shares,12000,0.01,Equity Shares,1000,302500,Buy,Equity Shares,13000,0.01,31-May-2024,31-May-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164994_1152850_04062024062209_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),ADITI PANANDIKAR,Promoters,Equity Shares,5592000,6.07,Equity Shares,9200,2775640,Buy,Equity Shares,5601200,6.08,31-May-2024,31-May-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164994_1152850_04062024062209_WEB.xml
INDOCO,Indoco Remedies Limited,7(2),MADHURA SURESH KARE,Promoters,Equity Shares,5199000,5.64,Equity Shares,6000,1815000,Buy,Equity Shares,5205000,5.65,31-May-2024,31-May-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:22,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164994_1152850_04062024062209_WEB.xml
BERGEPAINT,Berger Paints (I) Limited,7(2),Span India Private Limited,Other,Equity Shares,8441808,0.72,Equity Shares,5000,2291573,Buy,Equity Shares,8446808,0.72,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 18:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164992_1152832_04062024060516_WEB.xml
NATCOPHARM,Natco Pharma Limited,7(2),PRATIMA JAIN,Employees/Designated Employees,Equity Shares,1375,0,Equity Shares,1375,1373488,Sell,Equity Shares,Nil,0,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 17:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164987_1152818_04062024054312_WEB.xml
HOACFOODS,Hoac Foods India Limited,7(2),Urvashi Thakur,Promoter Group,Equity Shares,100,0,Equity Shares,3000,408000,Buy,Equity Shares,3100,0,31-May-2024,31-May-2024,03-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 17:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164985_1152802_04062024053449_WEB.xml
HDFCBANK,HDFC Bank Limited,7(2),Rajinder Babbar,Other,Equity Shares,20000,0,Equity Shares,10000,15620000,Sell,Equity Shares,10000,0,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 17:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164983_1152798_04062024053210_WEB.xml
HDFCBANK,HDFC Bank Limited,7(2),Shriram Iyer,Other,Equity Shares,14447,0,Equity Shares,6000,9415367,Sell,Equity Shares,8447,0,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 17:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164983_1152798_04062024053210_WEB.xml
HDFCBANK,HDFC Bank Limited,7(2),Harsh Gupta,Other,Equity Shares,31900,0,Equity Shares,31900,48807000,Sell,Equity Shares,Nil,0,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 17:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164983_1152798_04062024053210_WEB.xml
KIMS,Krishna Institute of Medical Sciences Limited,7(2),Bhaskara Rao Bollineni,Promoters,Equity Shares,21019929,26.27,Equity Shares,42000,80000000,Pledge,Equity Shares,21019929,26.27,31-May-2024,31-May-2024,03-Jun-2024,Pledge Creation,-,-,-,-,-,-,NA,-,04-Jun-2024 17:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164981_1152778_04062024052043_WEB.xml
KIMS,Krishna Institute of Medical Sciences Limited,7(2),Bhaskara Rao Bollineni,Promoters,Equity Shares,21019929,26.27,Equity Shares,34000,60000000,Pledge,Equity Shares,21019929,26.27,31-May-2024,31-May-2024,03-Jun-2024,Pledge Creation,-,-,-,-,-,-,NA,-,04-Jun-2024 17:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1164981_1152778_04062024052043_WEB.xml
