ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
GOKULAGRO,Gokul Agro Resources Limited,7(2),Ritika Infracon Private Limited,Promoter Group,Equity Shares,659500,0.45,Equity Shares,165000,16880642,Buy,Equity Shares,824500,0.56,14-Mar-2024,14-Mar-2024,15-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 12:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162157_1068120_15032024123115_WEB.xml
JSWHL,JSW Holdings Limited,7(2),JSW HOLDINGS EMPLOYEE WELFARE TRUST,Other,Equity Shares,2419,0.02,Equity Shares,100,678799,Buy,Equity Shares,2519,0.02,12-Mar-2024,12-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 12:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162155_1068107_15032024121831_WEB.xml
JSWHL,JSW Holdings Limited,7(2),JSW HOLDINGS EMPLOYEE WELFARE TRUST,Other,Equity Shares,2519,0.02,Equity Shares,50,326201,Buy,Equity Shares,2569,0.02,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 12:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162155_1068107_15032024121831_WEB.xml
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Mr. Ramanujan Krishnakumar,Director,Equity Shares,211452,0.14,Equity Shares,25000,2600000,Sell,Equity Shares,186452,0.12,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,15-Mar-2024 12:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162153_1068101_15032024121626_WEB.xml
BAJAJCON,Bajaj Consumer Care Limited,7(2),JAIDEEP NANDI,Director,Equity Shares,167804,0.12,Equity Shares,18000,3931442,Sell,Equity Shares,149804,0.1,12-Mar-2024,14-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,15-Mar-2024 12:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162151_1068093_15032024120831_WEB.xml
BAJAJCON,Bajaj Consumer Care Limited,7(2),JAIDEEP NANDI,Director,Equity Shares,1,0,Equity Shares,167803,167803,Buy,Equity Shares,167804,0.12,12-Mar-2024,12-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,15-Mar-2024 12:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162151_1068093_15032024120831_WEB.xml
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,7(2),ZUARI AGRO CHEMICALS LIMITED,Promoters,Equity Shares,64028362,54.03,Equity Shares,75000,7567500,Pledge,Equity Shares,64028362,54.03,13-Mar-2024,13-Mar-2024,14-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,15-Mar-2024 12:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162150_1068090_15032024120630_WEB.xml
SHALPAINTS,Shalimar Paints Limited,7(2),Veera Gupta,Immediate relative,Equity Shares,4476484,5.35,Equity Shares,2000000,400000000,Sell,Equity Shares,2476484,2.96,11-Mar-2024,11-Mar-2024,13-Mar-2024,Others,-,-,-,-,-,-,NA,-,15-Mar-2024 11:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162148_1068083_15032024115120_WEB.xml
SHALPAINTS,Shalimar Paints Limited,7(2),ASHOK KUMAR GUPTA,Director,Equity Shares,1260635,1.51,Equity Shares,1000000,200000000,Sell,Equity Shares,260635,0.31,11-Mar-2024,11-Mar-2024,13-Mar-2024,Others,-,-,-,-,-,-,NA,-,15-Mar-2024 11:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162148_1068083_15032024115120_WEB.xml
MAXIND,Max India Limited,7(2),Ajay Agrawal,Other,Equity Shares,105000,0.24,Equity Shares,2000,443994,Sell,Equity Shares,103000,0.24,12-Mar-2024,12-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,15-Mar-2024 11:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162145_1068074_15032024113235_WEB.xml
MAXIND,Max India Limited,7(2),Sandeep Pathak,Key Managerial Personnel,Equity Shares,6150,0.02,Equity Shares,1350,299822,Sell,Equity Shares,4800,0.02,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,15-Mar-2024 11:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162144_1068072_15032024113146_WEB.xml
ASHIANA,Ashiana Housing Limited,7(2),Bhagwan Kumar,-,Equity Shares,19800,0.02,Equity Shares,1000,309000,Buy,Equity Shares,20800,0.02,28-Feb-2024,28-Feb-2024,29-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 11:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162141_1068063_15032024110719_WEB.xml
ASHIANA,Ashiana Housing Limited,7(2),Bhagwan Kumar,-,Equity Shares,18800,0.02,Equity Shares,1000,303000,Buy,Equity Shares,19800,0.02,22-Feb-2024,26-Feb-2024,26-Feb-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 11:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162141_1068063_15032024110719_WEB.xml
ASHIANA,Ashiana Housing Limited,7(2),Bhagwan Kumar,-,Equity Shares,20800,0.02,Equity Shares,1500,456475,Buy,Equity Shares,22300,0.02,05-Mar-2024,12-Mar-2024,13-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 11:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162141_1068063_15032024110719_WEB.xml
MANINDS,Man Industries (India) Limited,7(2),Man Finance Private Limited,Promoter Group,Equity Shares,6428701,10.7,Equity Shares,2000,712380,Buy,Equity Shares,6430701,10.7,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 10:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162138_1068055_15032024103236_WEB.xml
MANINDS,Man Industries (India) Limited,7(2),Man Finance Private Limited,Promoter Group,Equity Shares,6413701,10.67,Equity Shares,15000,5740500,Buy,Equity Shares,6428701,10.7,11-Mar-2024,11-Mar-2024,13-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 10:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162138_1068055_15032024103236_WEB.xml
LTTS,L&T Technology Services Limited,7(2),HRISHIKESH RAO,Employees/Designated Employees,Equity Shares,11900,0.01,Equity Shares,4500,23538735,Sell,Equity Shares,7400,0.01,12-Mar-2024,12-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,15-Mar-2024 09:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162136_1068045_15032024094359_WEB.xml
MANINFRA,Man Infraconstruction Limited,7(2),Mansi P. Shah,Promoters,Equity Shares,58895139,15.86,Equity Shares,200000,38116000,Buy,Equity Shares,59095139,15.91,14-Mar-2024,14-Mar-2024,15-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,15-Mar-2024 09:38,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162134_1068042_15032024093834_WEB.xml
DIVISLAB,Divi's Laboratories Limited,7(2),Sirisha V,Employees/Designated Employees,Equity Shares,3400,0,Equity Shares,2000,6997000,Sell,Equity Shares,1400,0,12-Mar-2024,14-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,15-Mar-2024 09:13,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162132_1068039_15032024091345_WEB.xml
DBOL,Dhampur Bio Organics Limited,7(2),Shudh Edible Products Private Limited,Promoters,Equity Shares,11118180,16.75,Equity Shares,10000,1236000,Buy,Equity Shares,11128180,16.76,14-Mar-2024,14-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 22:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162130_1068031_14032024103338_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Ambrish Kumar Singh,Employees/Designated Employees,Equity Shares,12793,0.01,Equity Shares,2000,10317500,Sell,Equity Shares,10793,0.01,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 22:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162128_1068026_14032024100942_WEB.xml
HFCL,HFCL Limited,7(2),HFCL EMPLOYEES TRUST,Other,Equity Shares,1025600,0.07,Equity Shares,106800,2205420,Sell,Equity Shares,918800,0.06,12-Mar-2024,13-Mar-2024,14-Mar-2024,Off Market,-,-,-,-,-,-,NA,-,14-Mar-2024 21:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162126_1068022_14032024094506_WEB.xml
GENSOL,Gensol Engineering Limited,7(2),Gensol Ventures Private Limited,Promoter Group,Equity Shares,8751282,23.11,Equity Shares,11000,8772067,Buy,Equity Shares,8762282,23.14,14-Mar-2024,14-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NA,-,14-Mar-2024 20:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162124_1068018_14032024085630_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),VENKATARAMAN SRINIVAS,Employees/Designated Employees,Equity Shares,Nil,0,Equity Shares,3809,7205866,Buy,Equity Shares,3809,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Jose Ebenezer V,Employees/Designated Employees,Equity Shares,11750,0,Equity Shares,1208,2285294,Buy,Equity Shares,12958,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Prakash Rao Malathkar,Employees/Designated Employees,Equity Shares,5384,0,Equity Shares,1578,2985260,Buy,Equity Shares,6962,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Sanjay Maruti Jadhav,Employees/Designated Employees,Equity Shares,14610,0,Equity Shares,2365,4474107,Buy,Equity Shares,16975,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Mahindra & Mahindra Employees' Stock Option Trust,Other,Equity Shares,44410591,3.57,Equity Shares,71199,254990,Sell,Equity Shares,44339392,3.56,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Deshmukh Nasir Kabir,Employees/Designated Employees,Equity Shares,10007,0,Equity Shares,2000,3783600,Buy,Equity Shares,12007,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Punit Varshney,Employees/Designated Employees,Equity Shares,17050,0,Equity Shares,1011,1912610,Buy,Equity Shares,18061,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 20:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162122_1068015_14032024085032_WEB.xml
GENSOL,Gensol Engineering Limited,7(2),Gensol Ventures Private Limited,Promoter Group,Equity Shares,8751282,23.11,Equity Shares,300000,262305000,Pledge,Equity Shares,8751282,23.11,11-Mar-2024,11-Mar-2024,12-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,14-Mar-2024 20:34,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162120_1068010_14032024083421_WEB.xml
SHRENIK,Shrenik Limited,7(2),Shrenik Sudhir Vimawala,Director,Equity Shares,195122762,31.88,Equity Shares,300000,295500,Sell,Equity Shares,194822762,31.83,11-Mar-2024,11-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 19:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162118_1067979_14032024070918_WEB.xml
COSMOFIRST,COSMO FIRST LIMITED,7(2),ANIL KUMAR JAIN,Director,Equity Shares,11000,0.04,Equity Shares,37500,375000,Buy,Equity Shares,48500,0.18,13-Mar-2024,13-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 18:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162116_1067957_14032024064541_WEB.xml
COOLCAPS,Cool Caps Industries Limited,7(2),Rajeev Goenka,Promoters,Equity Shares,66000,0.57,Equity Shares,2000,870250,Buy,Equity Shares,68000,0.59,12-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162114_1067952_14032024064222_WEB.xml
COOLCAPS,Cool Caps Industries Limited,7(2),Purv Flexipack Limited,Promoters,Equity Shares,7145250,61.81,Equity Shares,4500,1975974,Buy,Equity Shares,7149750,61.85,12-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162114_1067952_14032024064222_WEB.xml
DMART,Avenue Supermarts Limited,7(2),MAHESH RAMJI NAGDA,-,Equity Shares,10480,0,Equity Shares,80,317018,Sell,Equity Shares,10400,0,12-Mar-2024,14-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
DMART,Avenue Supermarts Limited,7(2),SANJAY NARAYAN KADAM,-,Equity Shares,25374,0,Equity Shares,5000,19765000,Sell,Equity Shares,20374,0,14-Mar-2024,14-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
DMART,Avenue Supermarts Limited,7(2),JUDE FERNANDEZ,-,Equity Shares,9039,0,Equity Shares,50,200895,Sell,Equity Shares,8989,0,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
DMART,Avenue Supermarts Limited,7(2),SHASHIDHARA RAO KUVENAGAPPAYYA,-,Equity Shares,189062,0.03,Equity Shares,20672,82163000,Sell,Equity Shares,168390,0.03,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
DMART,Avenue Supermarts Limited,7(2),KIRIT AMRATLAL NAGDA,-,Equity Shares,95500,0.01,Equity Shares,100,403399,Buy,Equity Shares,95600,0.01,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
DMART,Avenue Supermarts Limited,7(2),KIRIT AMRATLAL NAGDA,-,Equity Shares,97300,0.01,Equity Shares,1800,7210977,Sell,Equity Shares,95500,0.01,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
DMART,Avenue Supermarts Limited,7(2),JAIDEEP SURESH SOMAN,-,Equity Shares,123999,0.02,Equity Shares,2268,9144576,Sell,Equity Shares,121731,0.02,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162113_1067949_14032024064128_WEB.xml
COSMOFIRST,COSMO FIRST LIMITED,7(2),COSMO FILMS ESOP TRUST 2015,Other,Equity Shares,297822,1.13,Equity Shares,37500,375000,Sell,Equity Shares,260322,0.99,13-Mar-2024,13-Mar-2024,14-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 18:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162110_1067944_14032024064002_WEB.xml
NUVOCO,Nuvoco Vistas Corporation Limited,7(2),Niyogi Enterprise Private Limited,Promoters,Equity Shares,214024889,59.92,Equity Shares,303000,90474921,Buy,Equity Shares,214327889,60.01,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162108_1067941_14032024063616_WEB.xml
NCLIND,NCL Industries Limited,7(2),KALIDINDI RAVI,Director,Equity Shares,2465123,5.45,Equity Shares,7500,1412025,Buy,Equity Shares,2472623,5.47,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162106_1067912_14032024061606_WEB.xml
CREST,Crest Ventures Limited,7(3),Mukesh Jagat Jethwani,-,Equity Shares,1600,0.01,Equity Shares,2500,1135978,Buy,Equity Shares,4100,0.01,14-Feb-2024,12-Mar-2024,13-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162104_1067899_14032024060932_WEB.xml
ASTERDM,Aster DM Healthcare Limited,7(2),Union Investments Private Limited,Promoters,Equity Shares,186853810,37,Equity Shares,186853810,77198651601,Pledge,Equity Shares,186853810,37,12-Mar-2024,12-Mar-2024,14-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,14-Mar-2024 18:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162103_1067885_14032024060240_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Jignesh Modi,Employees/Designated Employees,Equity Shares,3200,0,Equity Shares,1500,1054105,Sell,Equity Shares,1700,0,14-Feb-2024,13-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 18:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162101_1067878_14032024060043_WEB.xml
ASTERDM,Aster DM Healthcare Limited,7(2),Union (Mauritius) Holdings Limited,Promoter Group,Equity Shares,19980522,4,Equity Shares,19980522,8254952664,Pledge,Equity Shares,19980522,4,12-Mar-2024,12-Mar-2024,14-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,14-Mar-2024 17:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162099_1067871_14032024055555_WEB.xml
ATFL,Agro Tech Foods Limited,7(2),AGRO TECH ESOP TRUST,Other,Equity Shares,43084,0.17,Equity Shares,31225,21372583,Sell,Equity Shares,11859,0.05,11-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162096_1067850_14032024054223_WEB.xml
THOMASCOOK,Thomas Cook  (India)  Limited,7(3),IDBI Trusteeship Services Limited,-,Equity Shares,5191044,1.1,Equity Shares,100,12510,Sell,Equity Shares,5190944,1.1,13-Mar-2024,13-Mar-2024,13-Mar-2024,ESOP,-,-,-,-,-,-,NA,-,14-Mar-2024 17:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162094_1067841_14032024053618_WEB.xml
GLAND,Gland Pharma Limited,7(2),M N RAVI CHANDRA,Employees/Designated Employees,Equity Shares,10000,0.01,Equity Shares,5000,8650000,Sell,Equity Shares,5000,0,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:35,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162093_1067839_14032024053554_WEB.xml
PGEL,PG Electroplast Limited,7(2),Ruchi Pramod Gupta,Immediate relative,Equity Shares,46910,0.18,Equity Shares,7590,12112124,Buy,Equity Shares,54500,0.21,11-Mar-2024,11-Mar-2024,12-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162090_1067823_14032024052018_WEB.xml
GOKULAGRO,Gokul Agro Resources Limited,7(2),Ritika Infracon Private Limited,Promoter Group,Equity Shares,408000,0.28,Equity Shares,244000,24705234,Buy,Equity Shares,652000,0.44,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:19,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162089_1067821_14032024051953_WEB.xml
RAJRATAN,Rajratan Global Wire Limited,7(2),-,-,,-,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14-Mar-2024 17:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162087_1067817_14032024051838_WEB.xml
RAJRATAN,Rajratan Global Wire Limited,7(2),Sunil Chordia,-,Equity Shares,505940,1,Equity Shares,20000,12359013,Buy,Equity Shares,525940,1.04,12-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162087_1067817_14032024051838_WEB.xml
RAJRATAN,Rajratan Global Wire Limited,7(2),Sunil Chordia,-,Equity Shares,505940,1,Equity Shares,20000,12359013,Buy,Equity Shares,525940,1.04,12-Mar-2024,13-Mar-2024,14-Mar-2024,-,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162087_1067817_14032024051838_WEB.xml
FSL,Firstsource Solutions Limited,7(2),Firstsource Employee Benefit Trust,Other,Equity Shares,9504967,1.4,Equity Shares,228067,2320045,Sell,Equity Shares,9276900,1.4,13-Mar-2024,13-Mar-2024,14-Mar-2024,Off Market,-,-,-,-,-,-,NA,-,14-Mar-2024 17:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162083_1067803_14032024050900_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),GUNNAYAK COMMERCIAL PRIVATE LIMITED,Promoter Group,Equity Shares,51250000,19.25,Equity Shares,200000,4320000,Sell,Equity Shares,51050000,19.17,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162081_1067797_14032024050534_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),GUNNAYAK COMMERCIAL PRIVATE LIMITED,Promoter Group,Equity Shares,51750000,19.43,Equity Shares,500000,10600000,Sell,Equity Shares,51250000,19.25,11-Mar-2024,11-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 17:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162081_1067797_14032024050534_WEB.xml
SARLAPOLY,Sarla Performance Fibers Limited,7(2),SARLADEVI MADHUSUDAN JHUNJHUNWALA,Promoter Group,Equity Shares,47216491,56.54,Equity Shares,38000,2013240,Buy,Equity Shares,47254491,56.59,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 16:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162079_1067772_14032024044350_WEB.xml
ONELIFECAP,Onelife Capital Advisors Limited,7(2),PRABHAKARA NAIG,-,Equity Shares,6905000,51.68,Equity Shares,1500000,29280000,Pledge,Equity Shares,6905000,51.68,12-Mar-2024,12-Mar-2024,14-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,14-Mar-2024 16:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162077_1067766_14032024043710_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),KARUNAKAR REDDY BADDAM,Promoters,Equity Shares,150256900,53.21,Equity Shares,1835000,189647250,Pledge,Equity Shares,150256900,53.21,13-Mar-2024,13-Mar-2024,14-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,14-Mar-2024 16:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162072_1067737_14032024041518_WEB.xml
APOLLO,Apollo Micro Systems Limited,7(2),KARUNAKAR REDDY BADDAM,Promoters,Equity Shares,150256900,53.21,Equity Shares,2500000,258375000,Pledge,Equity Shares,150256900,53.21,13-Mar-2024,13-Mar-2024,14-Mar-2024,Pledge Creation,-,-,-,-,-,-,NA,-,14-Mar-2024 16:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162072_1067737_14032024041518_WEB.xml
ATFL,Agro Tech Foods Limited,7(2),SACHIN GOPAL,Key Managerial Personnel,Equity Shares,90099,0.37,Equity Shares,3580,2424776,Sell,Equity Shares,86519,0.35,06-Mar-2024,13-Mar-2024,14-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 16:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162070_1067723_14032024040202_WEB.xml
CMRSL,Cyber Media Research & Services Limited,7(2),Dhaval Gupta,Key Managerial Personnel,Equity Shares,2400,0.08,Equity Shares,2400,295032,Buy,Equity Shares,4800,0.16,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162068_1067705_14032024033329_WEB.xml
CMRSL,Cyber Media Research & Services Limited,7(2),Mina Chand,Other,Equity Shares,16000,0.55,Equity Shares,4000,511360,Buy,Equity Shares,20000,0.68,13-Mar-2024,13-Mar-2024,14-Mar-2024,Market Purchase,-,-,-,-,-,-,NSE,-,14-Mar-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162068_1067705_14032024033329_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Ramachandran Sundararajan,-,Equity Shares,40595,0,Equity Shares,1917,3174720,Sell,Equity Shares,38678,0,12-Mar-2024,12-Mar-2024,13-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,14-Mar-2024 14:59,https://nsearchives.nseindia.com/corporate/xbrl/IT_1162062_1067672_14032024025917_WEB.xml
